"X","text","textClean","bigrams"
169,"Op dit moment staat het niet op de planning. Vind het nogal groots om te zeggen nooit ","moment staat planning vind groots zeggen","moment_staat planning_vind"
170,"We hebben nu 2 kindjes en zijn hier gelukkig mee. Ik denk dat ik hier misschien wel bijna zeker niet in had kunnen vullen ","2 kindjes gelukkig mee denk zeker vullen","2_kindjes gelukkig_mee"
171,"ik wil graag kinderen ","graag kinderen","graag_kinderen"
172,"Ik ben 41 jaar en heb 2 gezonde dochters op de wereld gezet. Dat is voor ons voldoende. ","41 jaar 2 gezonde dochters wereld gezet voldoende","41_jaar 2_gezonde gezonde_dochters wereld_gezet"
173,"Onze jongste is net 1. Het was een  heel zwaar eerste jaar, met iedere nacht gemiddeld 5 keer eruit en daar lijkt nog even geen eind aan te komen.   We hebben het wel over een derde gehad, wilden graag een groot gezin. Ik weet niet of ik /of onze relatie nog zo'n periode aankan. ","jongste 1 zwaar jaar nacht gemiddeld 5 keer eruit eind komen graag groot gezin weet relatie zon periode aankan","nacht_gemiddeld gemiddeld_5 5_keer keer_eruit groot_gezin zon_periode periode_aankan"
174,"Ik zei als kind al dat ik graag moeder wilde worden. In een langdurig date contact ben ik daar tijdelijk aan gaan twijfelen, omdat dat contact geen kinderen wilde en ik hem wel heel leuk vond. Ik ben er toen zo van geschrokken dat iemand anders me hierover liet twijfelen dat ik nu zeker weet dat ik graag kinderen zou willen. Ik ben echter wel onzeker over wanneer ik me goed genoeg voel bij mijn partner om deze langdurige verbintenis samen aan te gaan. Mijn huidige vriend heeft een zoontje van 3 (ik heb geen kinderen) en gezien ik zelf uit een stabiele gezinssituatie kom, vind ik het moeilijk voor me te zien om te starten met een samengesteld gezin wanneer wij kinderen zouden krijgen. Daarnaast maakt het me onzeker dat hij twijfelt of hij meer kinderen zal willen en ik er wel 2 a 3 zou willen als het me gegund is. Ik vraag me dan weleens af of het verschil te groot is. Los van mijn huidige partner is er ergens wel de angst om mijn beeld van een gezin niet waar te kunnen maken voor mijn toekomstige kinderen, omdat je in een relatie altijd twee partijen hebt en ik alleen niet overal invloed op heb. ","kind graag moeder wilde langdurig date contact tijdelijk gaan twijfelen contact kinderen wilde leuk vond geschrokken hierover liet twijfelen zeker weet graag kinderen onzeker goed genoeg voel partner langdurige verbintenis gaan huidige vriend zoontje 3 kinderen gezien stabiele gezinssituatie kom vind moeilijk zien starten samengesteld gezin kinderen krijgen daarnaast onzeker twijfelt kinderen 2 a 3 gegund vraag weleens verschil groot los huidige partner angst beeld gezin toekomstige kinderen relatie partijen invloed","graag_moeder moeder_wilde langdurig_date date_contact gaan_twijfelen kinderen_wilde leuk_vond hierover_liet liet_twijfelen zeker_weet graag_kinderen goed_genoeg genoeg_voel langdurige_verbintenis huidige_vriend stabiele_gezinssituatie gezinssituatie_kom kom_vind samengesteld_gezin krijgen_daarnaast 2_a a_3 huidige_partner toekomstige_kinderen"
175,"Ik heb nog niet het gevoel wat sommige mensen hebben, waardoor ze zeker weten dat ze kinderen willen. Ik weet dat ik er financieel en qua woning en sterke relatie wel klaar voor zou zijn, maar gevoelsmatig nog niet helemaal. Verder twijfel ik soms of ik wel een kind op de wereld wil zetten waarin we nu leven. Met alle ellende waar we mee te maken krijgen (criminaliteit, rellen, etc). En ik ben me ervan bewust dat je ook veel van je vrijheid opgeeft door de opvoeding van een kind. Kortom: Nog niet overtuigd genoeg om er daadwerkelijk aan te beginnen. En ik vind ook niet dat het een gegeven feit hoeft te zijn dat iedereen maar kinderen neemt. Het is een beslissing die iedereen voor zichzelf mag nemen. En daarnaast moet het je ook maar gegund zijn... ","gevoel mensen waardoor zeker weten kinderen weet financieel qua woning sterke relatie gevoelsmatig helemaal twijfel soms kind wereld zetten waarin leven ellende mee krijgen criminaliteit rellen ervan bewust vrijheid opgeeft opvoeding kind kortom overtuigd genoeg daadwerkelijk beginnen vind gegeven feit hoeft kinderen neemt beslissing daarnaast gegund","zeker_weten qua_woning sterke_relatie zetten_waarin krijgen_criminaliteit criminaliteit_rellen ervan_bewust vrijheid_opgeeft kind_kortom overtuigd_genoeg gegeven_feit feit_hoeft kinderen_neemt"
176,"Op het moment zijn wij net begonnen om zwanger te geraken. Onzekerheden zijn in deze tijd wel de covid-19 crisis, en we zitten ook midden in een proces van een huis kopen. Het meest lastige vind ik zelf dat je niet kunt weten, omdat je nog nooit zwanger bent geweest, of je vruchtbaar bent of niet. Dus hoe lang gaat het duren? Een half jaar zou ik heel fijn vinden, binnen een maand zou ik spannend vinden maar als het langer duurt dan anderhalf jaar dan zou ik zenuwachtig worden. ","moment begonnen zwanger geraken onzekerheden tijd covid19 crisis zitten midden proces huis kopen lastige vind weten zwanger vruchtbaar lang gaat duren half jaar fijn vinden maand spannend vinden langer duurt anderhalf jaar zenuwachtig","geraken_onzekerheden covid19_crisis huis_kopen lastige_vind lang_gaat half_jaar fijn_vinden spannend_vinden langer_duurt anderhalf_jaar"
177,"Ik ben nog aan het studeren en heb nog geen partner, dus ben daarom zeker niet van plan de komende 3 jaar een kind te krijgen. Ik heb daarnaast Ã¼berhaupt geen sterkte kinderwens, wat me soms best wel onzeker maakt omdat de meeste vriendinnen en andere mensen uit mijn directe omgeving dat wel heel erg hebben. Ik ben 24 en heb nog nooit echt die 'moederkriebels'/of springende eierstokken zoals het volgens mij wordt genoemd, gehad. ","studeren partner zeker plan komende 3 jaar kind krijgen daarnaast ãberhaupt sterkte kinderwens soms best onzeker meeste vriendinnen mensen directe omgeving 24 echt moederkriebelsof springende eierstokken genoemd","komende_3 3_jaar daarnaast_ãberhaupt sterkte_kinderwens soms_best meeste_vriendinnen directe_omgeving moederkriebelsof_springende springende_eierstokken"
178,"Ik heb geen partner, ben al 28 jaar en wil uberhaupt geen kinderen. Ik ben erg gehecht aan mijn vrijhrid, er zijn al genoeg kinderen op de wereld en ik zie bij mensen om mij heen hoe lastig het soms kan zijn. ","partner 28 jaar uberhaupt kinderen gehecht vrijhrid genoeg kinderen wereld zie mensen heen lastig soms","28_jaar genoeg_kinderen"
179,"Ik heb op dit moment geen enkel gevoel bij het krijgen van kinderen, dus op dit moment weet ik zeker dat ik ze niet wil. Mocht dit in de toekomst veranderen, dan merk ik dat wel. ","moment gevoel krijgen kinderen moment weet zeker toekomst veranderen merk","moment_weet toekomst_veranderen"
180,"kan geen kinderen krijgen, geen behoefte aan kinde","kinderen krijgen behoefte kinde","kinderen_krijgen"
181,"Kinderen opvoeden lijkt mij heel mooi en leuk om te doen. Het lijkt me wel een erg grote verantwoordelijkheid, ook op financieel gebied. Het lijkt me fijn om een gezin te hebben en samen dingen te ondernemen en mee te maken. ","kinderen opvoeden mooi leuk grote verantwoordelijkheid financieel gebied fijn gezin dingen ondernemen mee","kinderen_opvoeden grote_verantwoordelijkheid financieel_gebied"
182,"Ik wil geen kinderen die opgroeien in deze maatschappij waarin we nu leven. Plus daarnaast gaat tegenwoordig iedereen uit elkaar als partner en hebben de meeste kinderen gescheiden ouders. Zij hebben hier nooit voor gekozen maar zijn wel de dupe ervan. ","kinderen opgroeien maatschappij waarin leven plus daarnaast gaat tegenwoordig elkaar partner meeste kinderen gescheiden ouders gekozen dupe ervan","maatschappij_waarin leven_plus plus_daarnaast daarnaast_gaat gaat_tegenwoordig meeste_kinderen kinderen_gescheiden gescheiden_ouders dupe_ervan"
183,"Te onzekere toekomst. ","onzekere toekomst","onzekere_toekomst"
184,"Kinderen krijgen is een wens maar gaat niet vanzelf en ook niet op natuurlijke wijzer. Een zware medisch traject zal ik weer in moeten gaan met een slagingskans van 1%. Dus ja heel graag maar is niet vanzelf. ","kinderen krijgen wens gaat vanzelf natuurlijke wijzer zware medisch traject gaan slagingskans 1 graag vanzelf","kinderen_krijgen natuurlijke_wijzer zware_medisch medisch_traject"
185,"Of ik het mentaal aan kan. Kinderen hebben kosten mij als introverte moeder veel energie. ","mentaal kinderen kosten introverte moeder energie","introverte_moeder"
186,"Als ik ze zelf niet kan krijgen adopteer ik gewoon ","krijgen adopteer","krijgen_adopteer"
187,"Op dit moment heb ik geen (vaste) partner. Stel ik krijg een partner die nog geen eigen kinderen heeft en dit wel zou willen, sluit ik dit niet geheel uit.  Toevallig heb ik laatst een zwangerschapstest gedaan en ondanks geen vaste relatie zou ik niet zomaar het kindje weg kunnen halen. In het laatste geval zou het dan welkom zijn, nog steeds niet gepland. ","moment vaste partner stel krijg partner kinderen sluit geheel toevallig zwangerschapstest gedaan vaste relatie zomaar kindje halen laatste geval welkom gepland","vaste_partner partner_stel zwangerschapstest_gedaan vaste_relatie laatste_geval"
188,"Mijn leeftijd is het belangrijkst. Maar omdat ik geen voorbehoedsmiddelen gebruik is het niet geheel uitgesloten al is het niet de verwachting dat het nog gebeurt. ","leeftijd belangrijkst voorbehoedsmiddelen gebruik geheel uitgesloten verwachting gebeurt","voorbehoedsmiddelen_gebruik geheel_uitgesloten"
189,"Ik werk zelf met kinderen, dus affiniteit is er zeker. Daarentegen zie ik in mijn werk ook vaak wat er mis kan gaan, dus dat brengt soms wel twijfels met zich mee. Aan de andere kant kunnen kinderen je leven verrijken. Momenteel zitten we nog in een fase dat we genieten van het leven, onze vrienden en elkaar, maar in de toekomst kan ik me voorstellen dat de drang om van alles te ontdekken afneemt en dat dit wordt vervangen door de wens voor kinderen. Het lijkt me prachtig om wezentjes van jezelf groot te zien worden. ","werk kinderen affiniteit zeker daarentegen zie werk mis gaan brengt soms twijfels mee kant kinderen leven verrijken momenteel zitten fase genieten leven vrienden elkaar toekomst voorstellen drang ontdekken afneemt vervangen wens kinderen prachtig wezentjes groot zien","zeker_daarentegen daarentegen_zie brengt_soms leven_verrijken verrijken_momenteel momenteel_zitten ontdekken_afneemt"
190,"Ik heb geen kinderwens, nu niet en ik ga er vanuit over 3 jaar ook niet ","kinderwens ga 3 jaar","3_jaar"
191,"ik kom uit een zware ptss. afbouw van zware pijnmedicatie. lang traject geweest om uberhaupt zwanger te mogen en kunnen worden. nu staat het licht op groen, maar ik vind het spannend. er gebeurd nog heel veel in mijn leven met name ook verwerkingsprocessen op [traumatische ervaring]. een kinderwens is er zeker, maar alles op zijn tijd. ik ga nu eerst mijn eigen verwerkingsproces afmaken. dat voelt voor mijn en mijn partner nu het beste.  we hebben vertrouwen in elkaar. het maakt of breekt onze relatie niet als we kinderloos blijven. dat hebben we duidelijk uitgesproken naar elkaar. en daar ben ik dankbaar voor. we zien wel wat de toekomst ons brengt. ","kom zware ptss afbouw zware pijnmedicatie lang traject uberhaupt zwanger staat licht groen vind spannend gebeurd leven name verwerkingsprocessen traumatische ervaring kinderwens zeker tijd ga verwerkingsproces afmaken voelt partner beste vertrouwen elkaar breekt relatie kinderloos blijven duidelijk uitgesproken elkaar dankbaar zien toekomst brengt","zware_ptss ptss_afbouw zware_pijnmedicatie pijnmedicatie_lang lang_traject uberhaupt_zwanger traumatische_ervaring verwerkingsproces_afmaken kinderloos_blijven duidelijk_uitgesproken"
192,"Ik zou heel graag meer kinderen willen, vanwege ik een grote kinderwens altijd al gehad heb. De zorg voor kinderen en de ontwikkeling zijn zeer interresant en zijn ook mijn studie drijfveer geweest. Om het van dichtbij mee te maken vind ik helemaal heel erg bijzonder ","graag kinderen grote kinderwens zorg kinderen ontwikkeling zeer interresant studie drijfveer dichtbij mee vind helemaal bijzonder","grote_kinderwens zeer_interresant studie_drijfveer dichtbij_mee"
193,"Sterke kinderwens met als ideaal een gezin met drie kinderen. Drie maanden geleden bevallen van de tweede. Dus de derde zal zich hopelijk binnen drie jaar wel aandienen (indien ons gegund uiteraard) ","sterke kinderwens ideaal gezin kinderen maanden bevallen hopelijk jaar aandienen indien gegund uiteraard","sterke_kinderwens aandienen_indien gegund_uiteraard"
194,"Ik ben er nog niet aan toe om nu kinderen te krijgen  Ik weet niet of ik zwanger zou kunnen worden.  Ik vind de verantwoordelijkheid heel groot. ","kinderen krijgen weet zwanger vind verantwoordelijkheid groot",NA
195,"heb er al 3 vind dat wel voldoende ","3 vind voldoende","3_vind"
196,"Ik ben zelf pas 24 jaar oud en vind mijzelf nog niet in staat om een kind op te voeden. Ik kamp zelf nog erg met psychische problemen die mijn leven belemmeren en ik wil een kind een stabiel en veilig thuis kunnen bieden. Ook ben ik bang mijn kinderen te ""verpesten"" of psychische problemen over te dragen op het kind. Ik wil eerst goed voor mijzelf leren zorgen en stabiel in het leven staan voordat ik de verantwoordelijkheid van een kind wil dragen. ","24 jaar oud vind staat kind voeden kamp psychische problemen leven belemmeren kind stabiel veilig thuis bieden bang kinderen verpesten psychische problemen dragen kind goed leren zorgen stabiel leven staan verantwoordelijkheid kind dragen","24_jaar jaar_oud psychische_problemen leven_belemmeren veilig_thuis psychische_problemen leren_zorgen leven_staan"
197,"Ik ben 42 en heb 2 kinderen. Ikbenteoud ","42 2 kinderen ikbenteoud","2_kinderen kinderen_ikbenteoud"
198,"Ik heb al 3 kinderen en ik vind dat genoeg ook ben ik oud geworden ","3 kinderen vind genoeg oud geworden","3_kinderen oud_geworden"
199,"De wereld waarin we leven wordt steeds harder, en ik weet niet of ik er dan goed aan zou doen om kinderen te krijgen. ","wereld waarin leven harder weet goed kinderen krijgen","wereld_waarin"
200,"Omdat ik nog studeer ben ik niet van plan om aan kinderen te nemen, en ik dan pas 27 ben en dan nog liever geen kinderen krijg. ","studeer plan kinderen 27 kinderen krijg","kinderen_krijg"
201,"Of dit biologisch lukt, of de omstandigheden in mijn leven gelijk blijven. ","biologisch lukt omstandigheden leven blijven","biologisch_lukt"
202,"Ik ben 42 en vind kinderen voldoe","42 vind kinderen voldoe","vind_kinderen kinderen_voldoe"
203,"Ik ben nog aan het studeren en ik weet nog niet precies, hoelang mijn studie duurt ","studeren weet hoelang studie duurt","studie_duurt"
204,"De opwarming van de aarde en klimaatverandering is niet hoopvol voor de volgende generatie, laat staan voor een pas geboren kind. Ook de toename van technologie en de samenleving die daardoor snel veranderd vind ik iets om over na te denken. ","opwarming aarde klimaatverandering hoopvol volgende generatie laat staan geboren kind toename technologie samenleving snel veranderd vind denken","volgende_generatie generatie_laat laat_staan geboren_kind snel_veranderd veranderd_vind"
205,"Ik ben heel gelukkig met 2 kinderen. Mijn kraamtijd was vrij heftig en dat houd me nu tegen om nog voor een 3e kind te gaan. ","gelukkig 2 kinderen kraamtijd heftig houd 3e kind gaan","2_kinderen 3e_kind"
206,"Ik ben onzeker omdat ik al 41 jaar ben. ","onzeker 41 jaar","41_jaar"
207,"Mijn kinderen zijn verwekt via ICSI. Ik blijk nu een autoimuunziekte te hebben, waardoor ik geen kinderen meer mag krijgen. Het is al bijzonder dat deze twee gezond t","kinderen verwekt icsi blijk autoimuunziekte waardoor kinderen krijgen bijzonder gezond t","gezond_t"
208,"Geen partner en vindt nu het leeftijdsverschil met mijn zoon te g","partner vindt leeftijdsverschil zoon g",NA
209,"Ik ben nog jong en kan geen (financiÃ«le) zekerheid bieden voor een kind op dit moment. In de komende drie jaar ben ik nog bezig met mijn studie. Na deze drie jaar wil ik het liefst of doorstuderen of een fulltime baan nemen. Met een kind gaat dit lastig. Zo heb je minder tijd voor een studie en zo wordt je ook minder snel aangenomen als je een kind hebt. Bovendien heb ik nu geen vaste baan en kan ik een kind helemaal niet betalen. Dit zie ik niet veranderen in de komende drie jaar. ","jong financiãle zekerheid bieden kind moment komende jaar bezig studie jaar liefst doorstuderen fulltime baan kind gaat lastig tijd studie snel aangenomen kind vaste baan kind helemaal betalen zie veranderen komende jaar","financiãle_zekerheid zekerheid_bieden fulltime_baan kind_gaat snel_aangenomen vaste_baan kind_helemaal"
210,"Ik ben op dit moment nie","moment nie","moment_nie"
211,"Ik heb 2 prachtige kinderen, mijn gezin is compleet. ","2 prachtige kinderen gezin compleet","2_prachtige prachtige_kinderen"
212,"Voor mij ligt de onzekerheid in het krijgen van kinderen in hoeverre ik een in gezonde en stabiele relatie zit en een partner heb die de zelfde wensen heeft als ik. ","ligt onzekerheid krijgen kinderen hoeverre gezonde stabiele relatie zit partner wensen","stabiele_relatie relatie_zit"
213,"Ik wil het niet  maar het kan ongepland gebeuren ","ongepland gebeuren","ongepland_gebeuren"
214,"Het ligt er aan of ik een partner heb, op dit moment single. Maar wens is wel heel groot dus zal ook kijken naar andere mogelijkheden als donor als het over een tijd niet lukt ","ligt partner moment single wens groot kijken mogelijkheden donor tijd lukt","moment_single"
215,"Mijn vriend zit in de afwikkeling van zijn vorige relatie. Wij willen beiden graag kinderen. Hij wil er nota bene 4. Dat weet ik niet of ik dat wel zo prettig ga vinden. Maar onze leeftijden tellen hierin ook mee. Ik ben 31 en hij is 36. Dat we kinderen krijgen binnen 3 jaar is een gegeven. ","vriend zit afwikkeling vorige relatie graag kinderen nota bene 4 weet prettig ga vinden leeftijden tellen mee 31 36 kinderen krijgen 3 jaar gegeven","vriend_zit vorige_relatie graag_kinderen nota_bene bene_4 prettig_ga ga_vinden leeftijden_tellen kinderen_krijgen 3_jaar"
216,"Ik heb altijd al van kinderen gehouden en het lijkt me geweldig om een eigen kind te hebben. Het lijkt me mooi om deze samen met mijn partner te zien opgroeien. ","kinderen gehouden geweldig kind mooi partner zien opgroeien","kinderen_gehouden zien_opgroeien"
217,"We hebben 2 gezonde kinderen gekregen. Ook heb ik 2 miskramen gehad. Dat was echt vreselijke ervaring. Dus we zijn dankbaar dat we 2 gezonde kinderen hebben. Het is goed zo ik zou heb niet aan kunnen als het nog eens een miskraam zal worden. Vandaar de keuze. ","2 gezonde kinderen gekregen 2 miskramen echt vreselijke ervaring dankbaar 2 gezonde kinderen goed miskraam vandaar keuze","2_gezonde gezonde_kinderen kinderen_gekregen 2_miskramen echt_vreselijke vreselijke_ervaring 2_gezonde gezonde_kinderen"
218,"Ãœberhaupt of ik kinderen zou kunnen krijgen. Maar ook of ik iemand vind om mijn leven mee te delen en kinderen mee te willen krijgen. Of ik me sterk en energiek genoeg voel/ben om voor kinderen te kunnen zorgen. ","ãœberhaupt kinderen krijgen vind leven mee delen kinderen mee krijgen sterk energiek genoeg voelben kinderen zorgen","leven_mee kinderen_mee energiek_genoeg genoeg_voelben"
219,"Ik wil geen kinderen ","kinderen",NA
220,"Medische oorzaak ","medische oorzaak","medische_oorzaak"
221,"ik ben al 39 en ben vrijgezel ","39 vrijgezel",NA
222,"Of ik wel (nog) vruchtbaar ben op het moment dat ik toe ben aan kinderen, over een paar jaar. En of mijn partner dan ook nog steeds kinderen wilt, hij geeft nu aan van wel. En of mijn eigen wens dan niet veranderd is, omdat ik een beter beeld heb van het hebben van kinderen, door mijn omgeving en omdat ik eventueel veranderd kan zijn. ","vruchtbaar moment kinderen jaar partner kinderen wilt geeft wens veranderd beter beeld kinderen omgeving eventueel veranderd","kinderen_wilt beter_beeld eventueel_veranderd"
223,"Hangt af van de privÃ©situatie, momenteel alleenstaande moeder met wel latrelatie. Zou graag nog 3e kindje willen, maar ook mijn lft (nu 40) gaat meespelen ","hangt privãsituatie momenteel alleenstaande moeder latrelatie graag 3e kindje lft 40 gaat meespelen","privãsituatie_momenteel momenteel_alleenstaande alleenstaande_moeder 3e_kindje 40_gaat gaat_meespelen"
224,"Op dit moment heb ik geen vaste relatie. op dit punt in mijn leven zie ik ook geen mogelijkheid om in mijn eentje een kindje op te voeden omdat ik nog niet zo toe ben aan kinderen dat ik dat zou doen. Mocht ik iemand tegenkomen binnenkort en het gaat erg goed dan zou ik wel over kinderen nadenken ","moment vaste relatie punt leven zie mogelijkheid eentje kindje voeden kinderen tegenkomen binnenkort gaat goed kinderen nadenken","vaste_relatie leven_zie tegenkomen_binnenkort kinderen_nadenken"
225,"we zijn al ruim 3 jaar bezig een kind te krijgen, ook miskraam gehad het wil niet lukken en ik ben al 41 ","ruim 3 jaar bezig kind krijgen miskraam lukken 41","ruim_3 3_jaar jaar_bezig"
226,"Ik heb 3 mooi kinderen, die ik graag de aandacht wil geven die ze nodig hebben. Daarnaast vind ik het niet langer verstandig gezien mijn leeftijd nog kinderen te willen krijgen. ","3 mooi kinderen graag aandacht geven nodig daarnaast vind langer verstandig gezien leeftijd kinderen krijgen","3_mooi mooi_kinderen daarnaast_vind langer_verstandig verstandig_gezien"
227,"Op het moment ben ik 41. Mijn kinderwens is altijd groot geweest maar niet gelukt en nu heb ik me erbij neergelegd dat het er niet meer van komt. ","moment 41 kinderwens groot gelukt erbij neergelegd komt","erbij_neergelegd"
228,"Ik studeer de komende anderhalf jaar sowieso nog, dit eist veel tijd en ik heb daardoor geen bijbaan. Hierna zal ik mij specialiseren, waarbij ik wel een inkomen zal hebben, maar ik heb nog geen zekerheid waar ik dit zou kunnen doen en hoe snel ik een plek krijg. Kortom, wegens studie, financiÃ«n en huisvesting. ","studeer komende anderhalf jaar sowieso eist tijd bijbaan specialiseren waarbij inkomen zekerheid snel plek krijg kortom studie financiãn huisvesting","komende_anderhalf anderhalf_jaar jaar_sowieso specialiseren_waarbij plek_krijg krijg_kortom studie_financiãn"
229,"Ik ben nog te jong en nog bezig met mijn opleiding ","jong bezig opleiding",NA
230,"single ","single","NA_NA"
231,"Je weet niet of het gezegend is. ","weet gezegend",NA
232,"Mijn partner, ik wil mij ook kunnen uitbreiden. Mijn visie is dat het leven compleet is met ","partner uitbreiden visie leven compleet","leven_compleet"
233,"Twee kinderen vinden wij meer dan voldoende. ","kinderen vinden voldoende","kinderen_vinden"
234,"Omdat ik bijna zeker weet geen kinderen te willen. Ben op dit moment 30 en geen relatie maar in mijn vorige relatie van 8 jaar had ik datzelfde gevoel. Maar niet 100 % zeker want je weet niet wat er op je pad komt in de toekomst. ","zeker weet kinderen moment 30 relatie vorige relatie 8 jaar datzelfde gevoel 100 zeker weet pad komt toekomst","zeker_weet moment_30 vorige_relatie 8_jaar datzelfde_gevoel 100_zeker pad_komt"
235,"Ons gezin is compleet. Zowel voor mij als moeder, maar ook voor mijn man. Waarom is het compleet? Als eerste is dat een gevoel; het voelt goed zo. Daarnaast komen er financiÃ«le en praktische aspecten bij kijken. Meer kinderen betekent ook gewoon meer kosten: een nieuwe auto kopen, groter hui","gezin compleet zowel moeder man compleet gevoel voelt goed daarnaast komen financiãle praktische aspecten kijken kinderen betekent kosten nieuwe auto kopen groter hui","compleet_zowel voelt_goed daarnaast_komen praktische_aspecten kinderen_betekent nieuwe_auto auto_kopen kopen_groter groter_hui"
236,"Op het moment ben ik zwanger van ons eerste kindje. Vanwege endometriose die ik heb, is het een zware zwangerschap. Met bijna 27 weken zwangerschap knelde er intern iets af (waarschijnlijk door vele verklevingen) en bleef ik meerdere dagen achtereen flauwvallen. Een nieuwe zwangerschap zien we momenteel dus nog even niet zitten. Maar de kinderwens is er wel. ","moment zwanger kindje endometriose zware zwangerschap 27 weken zwangerschap knelde intern vele verklevingen bleef meerdere dagen achtereen flauwvallen nieuwe zwangerschap zien momenteel zitten kinderwens","zware_zwangerschap 27_weken weken_zwangerschap zwangerschap_knelde vele_verklevingen meerdere_dagen dagen_achtereen achtereen_flauwvallen nieuwe_zwangerschap zwangerschap_zien"
237,"Wij hebben het idee dat we compleet zijn met 1 kind en dat dit past bij wat wij aan kunnen als ouders en wat we finacieel kunnen dragen/verantwoordelijk voor kunnen zijn. We hebben niet het idee dat een extra kind iemand van ons meer geluk zal geven ","idee compleet 1 kind past ouders finacieel dragenverantwoordelijk idee extra kind geluk geven","1_kind extra_kind"
238,"Ik zou heel graag kinderen willen, maar heb op dit moment geen partner. ","graag kinderen moment partner","graag_kinderen"
239,"We hebben al 4 kinderen. En ons gezin is compleet. ","4 kinderen gezin compleet","4_kinderen"
240,"Twee ongewenste zwangerschappen gevolgd door abortus hebben mijn kijk op het moederschap ongewild veranderd ","ongewenste zwangerschappen gevolgd abortus kijk moederschap ongewild veranderd","ongewenste_zwangerschappen zwangerschappen_gevolgd moederschap_ongewild ongewild_veranderd"
241,"Ik vind mezelf nog te jong om kinderen te krijgen. Ik wil eerst een huis en een stabiel inkomen en relatie hebben voordat ik kinderen krijg. Ik ben momenteel nog aan het studeren. ","vind jong kinderen krijgen huis stabiel inkomen relatie kinderen krijg momenteel studeren","stabiel_inkomen kinderen_krijg"
242,"Momenteel zit ik in de ziektewet. Ik woon bij mijn ouders en ik ben mijn leven op de rit aan het krijgen. Ik heb geen partner, en ik moet mijzelf naar mijn gevoel nog flink persoonlijk ontwikkelen.   Idealiter heb ik voor een kind: een dak, een baan, een partner en ben ik zelfverzekerd zodat ik het kind de volle aandacht kan geven dat het verdient. ","momenteel zit ziektewet woon ouders leven rit krijgen partner gevoel flink persoonlijk ontwikkelen idealiter kind dak baan partner zelfverzekerd kind volle aandacht geven verdient","momenteel_zit flink_persoonlijk persoonlijk_ontwikkelen ontwikkelen_idealiter volle_aandacht"
243,"Omdat ik daar niet meer de goede leeftijd voor heb . ","goede leeftijd","goede_leeftijd"
244,"Voor mij nog onduidelijk. ","onduidelijk",NA
245,"Ik val op vrouwen dus de manier van kinderen krijgen is wat ingewikkelder. ","val vrouwen manier kinderen krijgen ingewikkelder","kinderen_krijgen"
246,"Ik heb al 3 kinderen en ben al op leeftijd. ","3 kinderen leeftijd","3_kinderen"
247,"Kinderwens volt","kinderwens volt","kinderwens_volt"
248,"Ik heb geen partner en ik weet niet of ik in mijn eentje kinderen wil krijgen. Nu ik al iets ouder ben, begint de tijd wel te tellen. ","partner weet eentje kinderen krijgen ouder begint tijd tellen","eentje_kinderen"
249,"Nog niets. Ik slik al jaren de pil en ben er nog niet mee gestopt om zwanger proberen te raken. Zodra wij er klaar voor zijn zullen we proberen kinderen te krijgen. Tot die tijd heb ik alleen mezelf ermee als ik me geestelijk ga kwellen of could've should've would'ves. ","slik jaren pil mee gestopt zwanger proberen raken proberen kinderen krijgen tijd ermee geestelijk ga kwellen couldve shouldve wouldves","mee_gestopt zwanger_proberen proberen_kinderen geestelijk_ga ga_kwellen couldve_shouldve shouldve_wouldves"
250,"Ik had een kinderwens na het krijgen van een dochter voor nog een tweede kind. Onlangs ben ik gescheiden. Vanwege mijn leeftijd en mijn medische achtergrond denk ik dat het zeer onwaarschijnlijk is dat ik nog kinderen zal krijgen. ","kinderwens krijgen dochter kind onlangs gescheiden leeftijd medische achtergrond denk zeer onwaarschijnlijk kinderen krijgen","kind_onlangs medische_achtergrond achtergrond_denk zeer_onwaarschijnlijk"
251,"Kinderen krijgen moet via het ziekenhuis en lastig nu om in het traject te komen! ","kinderen krijgen ziekenhuis lastig traject komen","kinderen_krijgen"
252,"Studeren werken en een goed sparen huis verbouwen en de eerst kind als geven wat hij nodig heeft dan pas over andere kinderen beginnen en genieten van de kleine en op reis gaan hier en daar om een beetje van deze mooie wereld te zien kinderen krijgen kan altijd nog geen haast we zijn nog jongen en onze kleine jongen ook en het is zo leuk met hem als we dat gelijk doen dan hebben niet genoeg aandacht voor onze lieve jongen. ","studeren werken goed sparen huis verbouwen kind geven nodig kinderen beginnen genieten kleine reis gaan mooie wereld zien kinderen krijgen haast jongen kleine jongen leuk genoeg aandacht lieve jongen","studeren_werken goed_sparen sparen_huis huis_verbouwen kinderen_beginnen reis_gaan mooie_wereld zien_kinderen kinderen_krijgen kleine_jongen genoeg_aandacht lieve_jongen"
253,"Ik hoop dat het ons gegund is. Het is lang niet altijd van zelfsprekend ","hoop gegund lang zelfsprekend",NA
254,"Gevoel, compleet gezin ","gevoel compleet gezin","gevoel_compleet compleet_gezin"
255,"Ok ben tevreden zo en heb heen kinderwens meer ","ok tevreden heen kinderwens","heen_kinderwens"
